place_id,place_name,city,state,match_score,reason
"place-ins-kurusura-submarine-museum-visakhapatnam","INS Kurusura Submarine Museum","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-indira-gandhi-zoological-park-visakhapatnam","Indira Gandhi Zoological Park","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-itika-pongal-visakhapatnam","Itika Pongal","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-kailasagiri-visakhapatnam","Kailasagiri","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-kailasagiri-hill-park-visakhapatnam","Kailasagiri Hill Park","Visakhapatnam","Andhra Pradesh",31.666666666666664,"Low confidence score"
"place-kambalakonda-wildlife-sanctuary-visakhapatnam","Kambalakonda Wildlife Sanctuary","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-katiki-waterfalls-visakhapatnam","Katiki Waterfalls","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-lambasingi-visakhapatnam","Lambasingi","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-lawson-s-bay-beach-visakhapatnam","Lawson's Bay Beach","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-matsyadarshini-aquarium-visakhapatnam","Matsyadarshini Aquarium","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-rishikonda-beach-visakhapatnam","Rishikonda Beach","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-ross-hill-church-visakhapatnam","Ross Hill Church","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-simhachalan-temple-visakhapatnam","Simhachalan Temple","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-submarine-museum-visakhapatnam","Submarine Museum","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-tu-142-aircraft-museum-visakhapatnam","TU 142 Aircraft Museum","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-tenneti-park-visakhapatnam","Tenneti Park","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-vuda-park-taraka-rama-visakhapatnam","VUDA Park (Taraka Rama)","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-victory-at-sea-war-memorial-visakhapatnam","Victory at Sea War Memorial","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-war-memorial-visakhapatnam","War memorial","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-yarada-beach-visakhapatnam","Yarada Beach","Visakhapatnam","Andhra Pradesh",-100,"Low confidence score"
"place-simhachalam-temple-vizianagaram","Simhachalam Temple","Vizianagaram","Andhra Pradesh",-100,"Low confidence score"
"place-bhadrakali-temple-warangal","Bhadrakali Temple","Warangal","Andhra Pradesh",-100,"Low confidence score"
"place-thousand-pillar-temple-warangal","Thousand Pillar Temple","Warangal","Andhra Pradesh",-100,"Low confidence score"
"place-warangal-fort-warangal","Warangal Fort","Warangal","Andhra Pradesh",-100,"Low confidence score"
"place-ganga-lake-geker-sinying-itanagar","Ganga Lake (Geker Sinying)","Itanagar","Arunachal Pradesh",-100,"Low confidence score"
"place-itanagar-wildlife-sanctuary-itanagar","Itanagar Wildlife Sanctuary","Itanagar","Arunachal Pradesh",-100,"Low confidence score"
"place-jawaharlal-nehru-museum-itanagar","Jawaharlal Nehru Museum","Itanagar","Arunachal Pradesh",-100,"Low confidence score"
"place-tawang-monastery-tawang","Tawang Monastery","Tawang","Arunachal Pradesh",-100,"Low confidence score"
"place-assam-state-museum-guwahati","Assam State Museum","Guwahati","Assam",-100,"Low confidence score"
"place-kamakhya-temple-guwahati","Kamakhya Temple","Guwahati","Assam",-100,"Low confidence score"
"place-pobitora-wildlife-sanctuary-guwahati","Pobitora Wildlife Sanctuary","Guwahati","Assam",-100,"Low confidence score"
"place-umananda-island-guwahati","Umananda Island","Guwahati","Assam",-100,"Low confidence score"
"place-umananda-temple-guwahati","Umananda Temple","Guwahati","Assam",-100,"Low confidence score"
"place-hayagriva-madhava-temple-hajo","Hayagriva Madhava Temple","Hajo","Assam",-100,"Low confidence score"
"place-majuli-island-majuli","Majuli Island","Majuli","Assam",-100,"Low confidence score"
"place-manas-national-park-manas","Manas National Park","Manas","Assam",-100,"Low confidence score"
"place-sivasagar-sivadol-sivasagar","Sivasagar Sivadol","Sivasagar","Assam",-100,"Low confidence score"
"place-ajapala-nigrodha-tree-bodh-gaya","Ajapala Nigrodha Tree","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-animesh-lochana-chaitanya-shrine-bodh-gaya","Animesh Lochana Chaitanya Shrine","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-archaeological-society-of-india-museum-bodh-gaya","Archaeological Society of India Museum","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-bodhgaya-multimedia-museum-bodh-gaya","Bodhgaya Multimedia Museum","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-bodhi-tree-bodh-gaya","Bodhi Tree","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-burmese-vihara-monastery-bodh-gaya","Burmese Vihara Monastery","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-cankamana-bodh-gaya","Cankamana","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-chinese-temple-bodh-gaya","Chinese Temple","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-daijokyo-buddhist-temple-bodh-gaya","Daijokyo Buddhist Temple","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-dungeshwari-hills-bodh-gaya","Dungeshwari Hills","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-great-buddha-statue-bodh-gaya","Great Buddha Statue","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-indosan-nippon-japanese-temple-bodh-gaya","Indosan Nippon Japanese Temple","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-jama-masjid-bodh-gaya","Jama Masjid","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-kundan-bazaar-bodh-gaya","Kundan Bazaar","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-mahabodhi-temple-bodh-gaya","Mahabodhi Temple","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-mahabodhi-temple-complex-book-store-bodh-gaya","Mahabodhi Temple Complex Book store","Bodh Gaya","Bihar",42,"Low confidence score"
"place-muchalinda-lake-bodh-gaya","Muchalinda Lake","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-root-institute-for-wisdom-culture-bodh-gaya","Root Institute for Wisdom Culture","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-royal-bhutan-monastery-bodh-gaya","Royal Bhutan Monastery","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-sujata-kuti-bodh-gaya","Sujata Kuti","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-sujatha-temple-bodh-gaya","Sujatha Temple","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-thai-monastery-bodh-gaya","Thai Monastery","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-tibetan-refugee-market-bodh-gaya","Tibetan Refugee Market","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-vishnupad-temple-bodh-gaya","Vishnupad Temple","Bodh Gaya","Bihar",-100,"Low confidence score"
"place-budhha-smriti-park-patna","Budhha Smriti Park","Patna","Bihar",-100,"Low confidence score"
"place-golghar-patna","Golghar","Patna","Bihar",-100,"Low confidence score"
"place-mahavir-mandir-patna","Mahavir Mandir","Patna","Bihar",-100,"Low confidence score"
"place-patna-museum-patna","Patna Museum","Patna","Bihar",-100,"Low confidence score"
"place-sanjay-gandhi-biological-park-patna","Sanjay Gandhi Biological Park","Patna","Bihar",-100,"Low confidence score"
"place-takhat-shri-harimandir-ji-patna-sahib-patna","Takhat Shri Harimandir Ji Patna Sahib","Patna","Bihar",-100,"Low confidence score"
"place-chitrakote-falls-bastar","Chitrakote Falls","Bastar","Chhattisgarh",-100,"Low confidence score"
"place-diu-fort-diu","Diu Fort","Diu","Dadra and Nagar Haveli and Daman and Diu",-100,"Low confidence score"
"place-naida-caves-diu","Naida Caves","Diu","Dadra and Nagar Haveli and Daman and Diu",-100,"Low confidence score"
"place-a-different-world-in-paharganj-delhi","A Different World in Paharganj","Delhi","Delhi",-100,"Low confidence score"
"place-admire-the-architecture-of-purana-qila-delhi","Admire the architecture of Purana Qila","Delhi","Delhi",-100,"Low confidence score"
"place-adventure-island-delhi","Adventure Island","Delhi","Delhi",-100,"Low confidence score"
"place-agrasen-ki-baoli-delhi","Agrasen ki Baoli","Delhi","Delhi",-100,"Low confidence score"
"place-akshardham-temple-delhi","Akshardham Temple","Delhi","Delhi",-100,"Low confidence score"
"place-bharat-darshan-park-delhi","Bharat Darshan Park","Delhi","Delhi",-100,"Low confidence score"
"place-birla-mandir-delhi-delhi","Birla Mandir Delhi","Delhi","Delhi",-100,"Low confidence score"
"place-chandni-chowk-delhi","Chandni Chowk","Delhi","Delhi",-100,"Low confidence score"
"place-clubbing-in-hauz-khas-village-delhi","Clubbing in Hauz Khas Village","Delhi","Delhi",-100,"Low confidence score"
"place-crafts-museum-delhi","Crafts Museum","Delhi","Delhi",-100,"Low confidence score"
"place-enjoy-the-colours-of-lajpat-nagar-delhi","Enjoy the Colours of Lajpat Nagar","Delhi","Delhi",-100,"Low confidence score"
"place-garden-of-five-senses-delhi","Garden of Five Senses","Delhi","Delhi",46.666666666666664,"Low confidence score"
"place-gurudwara-bangla-sahib-new-delhi-175","Gurudwara Bangla Sahib","Delhi","Delhi",-100,"Low confidence score"
"place-humayun-s-tomb-delhi","Humayun's Tomb","Delhi","Delhi",-100,"Low confidence score"
"place-iskcon-hare-krishna-temple-delhi","ISKCON (Hare Krishna) Temple","Delhi","Delhi",-100,"Low confidence score"
"place-india-gate-delhi","India Gate","Delhi","Delhi",-100,"Low confidence score"
"place-iron-pillar-delhi","Iron Pillar","Delhi","Delhi",-100,"Low confidence score"
"place-jama-masjid-delhi","Jama Masjid","Delhi","Delhi",-100,"Low confidence score"
"place-jantar-mantar-delhi","Jantar Mantar","Delhi","Delhi",-100,"Low confidence score"
"place-kingdom-of-dreams-delhi","Kingdom of Dreams","Delhi","Delhi",-100,"Low confidence score"
"place-kuchesar-delhi","Kuchesar","Delhi","Delhi",-100,"Low confidence score"
"place-lodhi-garden-delhi","Lodhi Garden","Delhi","Delhi",-100,"Low confidence score"
"place-lotus-temple-delhi","Lotus Temple","Delhi","Delhi",-100,"Low confidence score"
"place-mehrauli-archaeological-park-delhi","Mehrauli Archaeological Park","Delhi","Delhi",-100,"Low confidence score"
"place-morning-walk-near-india-gate-delhi","Morning walk near India Gate","Delhi","Delhi",-100,"Low confidence score"
"place-mughal-gardens-delhi","Mughal Gardens","Delhi","Delhi",-100,"Low confidence score"
"place-museum-of-illusions-delhi","Museum of Illusions","Delhi","Delhi",-100,"Low confidence score"
"place-national-gallery-of-modern-art-delhi","National Gallery of Modern Art","Delhi","Delhi",-100,"Low confidence score"
"place-national-science-centre-delhi","National Science Centre","Delhi","Delhi",-100,"Low confidence score"
"place-nehru-memorial-museum-and-library-delhi","Nehru Memorial Museum and Library","Delhi","Delhi",-100,"Low confidence score"
"place-nicholson-cemetery-delhi","Nicholson Cemetery","Delhi","Delhi",-100,"Low confidence score"
"place-nizamuddin-dargah-delhi","Nizamuddin Dargah","Delhi","Delhi",-100,"Low confidence score"
"place-party-at-the-connaught-place-delhi","Party at the Connaught Place","Delhi","Delhi",-100,"Low confidence score"
"place-pick-the-trends-at-sarojini-market-delhi","Pick the Trends at Sarojini Market","Delhi","Delhi",-100,"Low confidence score"
"place-pradhanmantri-sangrahalaya-delhi","Pradhanmantri Sangrahalaya","Delhi","Delhi",35,"Low confidence score"
"place-quwwat-ul-islam-mosque-delhi","Quwwat-ul-Islam Mosque","Delhi","Delhi",-100,"Low confidence score"
"place-rajghat-delhi","Rajghat","Delhi","Delhi",-100,"Low confidence score"
"place-rajpath-delhi","Rajpath","Delhi","Delhi",-100,"Low confidence score"
"place-rashtrapati-bhavan-delhi","Rashtrapati Bhavan","Delhi","Delhi",-100,"Low confidence score"
